,suburbs,predicitions
129,Torquay,0.025274475667548
74,Keilor,0.0273805871766453
29,Castlemaine,0.0297243791973043
66,Hamilton,0.0313529818861089
87,Mount Clear-Buninyong,0.0391448442647434
132,Wangaratta,0.0397548772431673
51,Eltham-Research-Montmorency,0.0407714578089696
100,Ocean Grove-Barwon Heads,0.0429713706198369
89,Mt Eliza-Mornington-Mt Martha,0.0486924428531861
4,Bairnsdale,0.0495444505509978
72,Horsham,0.0502946386915765
93,Newtown,0.0516990776050968
104,Portland,0.0519784344457559
95,North Geelong,0.0537766788491893
17,Brighton East,0.0538863507988002
111,Sale-Maffra,0.0541954298874207
10,Bendigo,0.0542390664142251
77,Lara,0.0543138731076101
9,Benalla,0.0552274098010325
44,Dromana-Portsea,0.0557454840382496
84,Moe-Newborough,0.0558114118192364
68,Hastings-Flinders,0.0567932372652842
114,Seymour,0.0579694163398453
143,Yarraville-Seddon,0.0588436322311155
14,Boronia,0.0597439169387738
136,Wendouree-Alfredton,0.0597692861545001
124,Swan Hill,0.0610072523141134
112,Seaford-Carrum Downs,0.0612457533646147
36,Corio,0.0627233823646559
8,Belmont-Grovedale,0.062876087191614
134,Warragul,0.0632291994877447
70,Heidelberg-Heidelberg West,0.0634758146084538
110,Rowville,0.0639437711060276
32,Cheltenham,0.0649520279352455
3,Aspendale-Chelsea-Carrum,0.0662831467595
67,Hampton-Beaumaris,0.0663211136201785
7,Bayswater,0.0666988834322043
122,Sunbury,0.0675025976691947
120,St Albans-Deer Park,0.0678552616427081
62,Geelong-Newcombe,0.0682866122110916
133,Wantirna-Scoresby,0.0683657136855254
56,Fitzroy,0.068837256560866
81,Mentone-Parkdale-Mordialloc,0.0691787518440718
65,Golden Square-Kangaroo Flat,0.0695620585622906
16,Brighton,0.0697953673789024
55,Ferntree Gully,0.0701463160592189
63,Gladstone Park-Tullamarine,0.0703648871573417
49,Echuca,0.0704757936950154
98,Nunawading-Mitcham,0.0708191685930109
71,Herne Hill-Geelong West,0.0708586249172029
39,Croydon-Lilydale,0.0712529824520608
130,Traralgon,0.0718646372137201
21,Bundoora-Greensborough-Hurstbridge,0.0729216214397835
109,Ringwood,0.073633469293572
103,Port Melbourne,0.0738523999560269
41,Dandenong North-Endeavour Hills,0.0740359437829171
5,Ballarat,0.0741339832157199
123,Sunshine,0.0744090046693564
142,Wodonga,0.0745442441862911
37,Craigieburn,0.0750412009950732
92,Newport-Spotswood,0.0750843317504999
125,Sydenham,0.0756159100628129
50,Elsternwick,0.0756429595054381
82,Mildura,0.0759219511970296
126,Thomastown-Lalor,0.0764444292180072
102,Pascoe Vale-Coburg North,0.07700084289848
59,Flora Hill-Bendigo East,0.0770650091290139
115,Shepparton,0.0780275788876529
113,Sebastopol-Delacombe,0.0781641629186372
54,Fairfield-Alphington,0.0788725997350606
18,Broadmeadows-Roxburgh Park,0.0790416562922008
135,Warrnambool,0.0793581994299426
80,Melton,0.0797511351062263
127,Thornbury,0.0797700081623457
83,Mill Park-Epping,0.080486806367744
78,Malvern,0.0808862412571131
25,Canterbury-Surrey Hills-Mont Albert,0.0812162632060734
107,Reservoir,0.0813128155067198
40,Dandenong,0.0818074947405405
88,Mount Waverley,0.0820574353892673
13,Blackburn,0.0821229084661396
43,Doncaster East-Donvale,0.0830799754722545
94,Noble Park,0.0835516454695043
86,Morwell,0.0850554921913068
101,Pakenham,0.0855728719743942
91,Narre Warren-Hampton Park,0.0862702255611583
140,Whittlesea,0.0866535467098104
97,Northcote,0.0898821791442114
61,Frankston,0.0906883524213014
75,Keilor East-Avondale Heights,0.0907247999486672
34,Coburg-Pascoe Vale South,0.0908181845257534
99,Oak Park-Glenroy-Fawkner,0.0917186752218798
141,Williamstown,0.0932009655257294
64,Glen Waverley-Mulgrave,0.0934914714826152
12,Berwick,0.0935094840120636
138,West Brunswick,0.0936618594628393
47,East Melbourne,0.0940875378022836
11,Bentleigh,0.0948929516186313
26,Carlton North,0.0982038584904342
119,Springvale,0.0986517130617434
90,Murrumbeena-Hughesdale,0.0990197186453075
6,Balwyn,0.0991478608143905
20,Bulleen-Templestowe-Doncaster,0.0998885904195468
128,Toorak,0.1002510255263615
106,Preston,0.1004845624651407
1,Altona,0.1007425544668934
22,Burwood-Ashburton,0.1013533877913459
38,Cranbourne,0.1021685417987741
85,Moonee Ponds-Ascot Vale,0.1022822469278332
73,Ivanhoe-Ivanhoe East,0.1034251034161906
139,West Footscray,0.1040686692300517
76,Kew,0.1059971299015525
137,Werribee-Hoppers Crossing,0.1087922095476381
0,Albert Park-Middle Park-West St Kilda,0.1112420255131413
24,Camberwell-Glen Iris,0.1119306406438289
31,Chadstone-Oakleigh,0.1122423970128633
2,Armadale,0.1140199484711728
45,East Brunswick,0.1144574037780689
57,Fitzroy North-Clifton Hill,0.1162598444367539
19,Brunswick,0.1189402502304991
121,St Kilda,0.1212258983232517
131,Vermont-Forest Hill-Burwood East,0.1225497740685646
53,Essendon,0.123646186409269
52,Elwood,0.1240741519153193
33,Clayton,0.1282626570700371
35,Collingwood-Abbotsford,0.1304776681473119
28,Carnegie,0.1312729212312413
69,Hawthorn,0.1315268790489948
79,Malvern East,0.1339172420866343
48,East St Kilda,0.1359847741847036
46,East Hawthorn,0.1360497126199769
105,Prahran-Windsor,0.1363180441397831
58,Flemington-Kensington,0.1382157204377067
15,Box Hill,0.1412707770335178
117,South Yarra,0.1425529691457744
60,Footscray,0.1457703117774162
108,Richmond-Burnley,0.1463427052241609
116,South Melbourne,0.1626793455404786
42,Docklands,0.1857712285110434
30,Caulfield,0.187918432400584
96,North Melbourne-West Melbourne,0.2036557377944163
27,Carlton-Parkville,0.2167226487263424
118,Southbank,0.218558386951728
23,CBD-St Kilda Rd,0.2653420729600191
