,predicitions,suburbs,housing: type
0,0.11124202551314138,Albert Park-Middle Park-West St Kilda,flat
1,0.05080181732526939,Albert Park-Middle Park-West St Kilda,house
2,0.08203016204903585,Altona,flat
3,0.10074255446689345,Altona,house
4,0.11401994847117289,Armadale,flat
5,0.0419394768457197,Armadale,house
6,0.0662831467595,Aspendale-Chelsea-Carrum,flat
7,0.044978590193884345,Aspendale-Chelsea-Carrum,house
8,0.03803343386562128,Bairnsdale,flat
9,0.04954445055099783,Bairnsdale,house
10,0.07413398321571998,Ballarat,flat
11,0.045731057670205945,Ballarat,house
12,0.09914786081439053,Balwyn,flat
13,0.0405682475431837,Balwyn,house
14,0.05307934239699114,Bayswater,flat
15,0.06669888343220431,Bayswater,house
16,0.062876087191614,Belmont-Grovedale,flat
17,0.04517025754939318,Belmont-Grovedale,house
18,0.05522740980103253,Benalla,flat
19,0.03949502791611229,Benalla,house
20,0.05423906641422519,Bendigo,flat
21,0.04384059111457792,Bendigo,house
22,0.09489295161863134,Bentleigh,flat
23,0.05362375642951273,Bentleigh,house
24,0.07122721577757393,Berwick,flat
25,0.09350948401206363,Berwick,house
26,0.08212290846613968,Blackburn,flat
27,0.07419848386522124,Blackburn,house
28,0.05638909565278837,Boronia,flat
29,0.059743916938773824,Boronia,house
30,0.1412707770335178,Box Hill,flat
31,0.06646843476136996,Box Hill,house
32,0.06979536737890243,Brighton,flat
33,0.007605544857014833,Brighton,house
34,0.05388635079880023,Brighton East,flat
35,0.01678592958589651,Brighton East,house
36,0.05763123113201966,Broadmeadows-Roxburgh Park,flat
37,0.07904165629220083,Broadmeadows-Roxburgh Park,house
38,0.11894025023049914,Brunswick,flat
39,0.05413529290621217,Brunswick,house
40,0.09988859041954681,Bulleen-Templestowe-Doncaster,flat
41,0.0677754141550567,Bulleen-Templestowe-Doncaster,house
42,0.06851596482175257,Bundoora-Greensborough-Hurstbridge,flat
43,0.07292162143978359,Bundoora-Greensborough-Hurstbridge,house
44,0.10135338779134598,Burwood-Ashburton,flat
45,0.06770922678664648,Burwood-Ashburton,house
46,0.26534207296001916,CBD-St Kilda Rd,flat
47,0.11193064064382896,Camberwell-Glen Iris,flat
