,variable,correlation
62,economic: gdp per capita quarterly_first,-0.36152298908621566
456,a80_dangerous_and_negligent_acts_endangering_people_pc_change,-0.2289481258321346
297,a80_dangerous_and_negligent_acts_endangering_people_change,-0.22894805896466763
505,population: 85 and over_pc_change,-0.14452378069341248
514,birth: afghanistan age_pc_change,-0.13950464584783004
500,population: 60-64_pc_change,-0.13620784293510202
28,best_school_number_vce_subjects_first,-0.13031901765106194
51,water_percentage_first,-0.12791865238399242
215,birth: wales_pc_first,-0.12446975045793915
473,c90_other_drug_offences_pc_change,-0.1148143360018956
314,c90_other_drug_offences_change,-0.11104402102117035
488,population: 0-4_pc_change,-0.10933600331905959
372,population: 85 and over_change,-0.1057659229716381
479,economic: median age of earners_pc_change,-0.1017078041961722
503,population: 75-79_pc_change,-0.09906339630608352
546,birth: myanmar_pc_change,-0.09890195670608846
548,birth: bosnia and herzegovina_pc_change,-0.09770354292481252
244,birth: sri lanka_pc_first,-0.0961205701176073
346,economic: median age of earners_change,-0.09460033590660118
554,birth: cambodia_pc_change,-0.09451996666421951
367,population: 60-64_change,-0.09394231737451358
316,d40_public_security_offences_change,-0.09216460198491726
475,d40_public_security_offences_pc_change,-0.09216458714129068
112,birth: sri lanka_first,-0.09154105318235448
551,birth: turkey_pc_change,-0.09015022681459299
229,birth: chile_pc_first,-0.0895817508081285
278,studying: secondary government_pc_first,-0.08729096755152678
550,birth: bangladesh_pc_change,-0.08581160838725475
304,c10_drug_dealing_and_trafficking_change,-0.08079772672553098
480,economic: median income_pc_change,-0.08068303039530211
463,c10_drug_dealing_and_trafficking_pc_change,-0.08065612457176047
459,b20_property_damage_pc_change,-0.07954845278534373
299,b10_arson_change,-0.07925532834330191
458,b10_arson_pc_change,-0.07925480232637325
534,birth: mauritius_pc_change,-0.07826980861707915
271,studying: tertiary PT 14-25_pc_first,-0.0782562382590228
518,birth: nepal_pc_change,-0.07800214772707155
521,birth: chile_pc_change,-0.07783165801329468
83,birth: wales_first,-0.07774399846569528
522,birth: fiji_pc_change,-0.07642032698300755
541,birth: iran_pc_change,-0.07575999870162071
533,birth: iraq_pc_change,-0.07565060911979163
97,birth: chile_first,-0.07559624379862952
513,birth: egypt_pc_change,-0.07511159315582165
527,birth: china excludes sars and taiwan_pc_change,-0.07413305738692935
576,relationships: other related individual_pc_change,-0.07413305738692934
485,economic: variable interest rate_pc_change,-0.07413305738692921
511,birth: country of birth not stated_pc_change,-0.07413305738692916
545,birth: netherlands_pc_change,-0.07413305738692912
520,birth: england_pc_change,-0.07413305738692909
483,economic: gini coefficient_pc_change,-0.07413305738692909
579,relationships: group household_pc_change,-0.07413305738692906
560,studying: tertiary FT 14-25_pc_change,-0.07413305738692906
571,studying: secondary total_pc_change,-0.07413305738692906
575,relationships: defacto_pc_change,-0.07413305738692905
510,birth: malaysia_pc_change,-0.07413305738692905
552,birth: canada_pc_change,-0.07413305738692902
564,studying: tertiary PT 25+_pc_change,-0.07413305738692902
566,studying: primary government_pc_change,-0.07413305738692902
538,birth: philippines_pc_change,-0.07413305738692902
482,economic: top 1% suburb_pc_change,-0.074133057386929
563,studying: tertiary PT 14-25_pc_change,-0.074133057386929
530,birth: south africa_pc_change,-0.07413305738692899
539,birth: vietnam_pc_change,-0.07413305738692899
559,studying: primary other_pc_change,-0.07413305738692899
581,relationships: dependent student_pc_change,-0.07413305738692898
574,relationships: child under 15_pc_change,-0.07413305738692896
570,studying: secondary government_pc_change,-0.07413305738692896
561,studying: tertiary FT 25+_pc_change,-0.07413305738692895
578,relationships: lone persons_pc_change,-0.07413305738692895
547,birth: united states of america_pc_change,-0.07413305738692894
565,studying: tafe total_pc_change,-0.07413305738692892
481,economic: top 5% suburb_pc_change,-0.07413305738692891
572,studying: tertiary total_pc_change,-0.07413305738692891
537,birth: india_pc_change,-0.07413305738692891
543,birth: france_pc_change,-0.0741330573869289
516,birth: ireland_pc_change,-0.0741330573869289
580,relationships: married_pc_change,-0.0741330573869289
536,birth: sri lanka_pc_change,-0.07413305738692888
569,studying: primary catholic_pc_change,-0.07413305738692888
509,birth: australia_pc_change,-0.07413305738692888
582,relationships: lone parents_pc_change,-0.07413305738692887
544,birth: total_pc_change,-0.07413305738692882
526,birth: scotland_pc_change,-0.07413305738692882
555,birth: born elsewhere_pc_change,-0.07413305738692882
562,studying: primary total_pc_change,-0.07413305738692881
540,birth: new zealand_pc_change,-0.07413305738692878
567,studying: secondary catholic_pc_change,-0.07413305738692878
556,birth: italy_pc_change,-0.07413305738692874
558,birth: germany_pc_change,-0.07413305738692874
568,studying: preschool_pc_change,-0.0741330573869287
517,birth: hong kong sar of china_pc_change,-0.07413305738692866
573,overseas: 5 years_pc_change,-0.07413305738692864
484,economic: trimmed mean quarterly_pc_change,-0.07413305738692859
577,relationships: non dependent child_pc_change,-0.07413305738692832
549,birth: zimbabwe_pc_change,-0.07396872303076826
121,birth: netherlands_first,-0.07345037384193284
553,birth: korea republic of south_pc_change,-0.07341976261563729
515,birth: thailand_pc_change,-0.07334185368622786
529,birth: singapore_pc_change,-0.07334185368622766
305,c20_cultivate_or_manufacture_drugs_change,-0.07232922104336398
464,c20_cultivate_or_manufacture_drugs_pc_change,-0.0723224494357639
542,birth: lebanon_pc_change,-0.07170265077510297
508,birth: papua new guinea_pc_change,-0.07151019787135869
525,birth: malta_pc_change,-0.06979090921885746
557,birth: croatia_pc_change,-0.06960496471162513
531,birth: greece_pc_change,-0.06960496471162503
528,birth: poland_pc_change,-0.0696049647116247
22,c90_other_drug_offences_first,-0.06929141644837797
134,birth: germany_first,-0.06906102689012411
512,birth: indonesia_pc_change,-0.06880011560475571
507,birth: wales_pc_change,-0.06877412148677998
506,birth: brazil_pc_change,-0.06680883170962475
274,studying: primary government_pc_first,-0.06625466889100953
300,b20_property_damage_change,-0.06533438135905179
524,birth: japan_pc_change,-0.06510402552674878
489,population: 5-9_pc_change,-0.06499612849478463
123,birth: united states of america_first,-0.06474437009378642
532,birth: pakistan_pc_change,-0.06320616240778752
46,total_area_first,-0.06281821395903626
287,relationships: group household_pc_first,-0.062198114919944536
105,birth: singapore_first,-0.061644148378503426
255,birth: united states of america_pc_first,-0.06155289545179606
180,f90_miscellaneous_offences_pc_first,-0.06146701741385938
502,population: 70-74_pc_change,-0.06138557125534026
55,economic: median income_first,-0.06063137894028698
237,birth: singapore_pc_first,-0.05981652318172981
228,birth: england_pc_first,-0.05917108322593378
519,birth: north macedonia_pc_change,-0.05889516667702753
370,population: 75-79_change,-0.058231685319078616
523,birth: taiwan_pc_change,-0.05728252745325655
266,birth: germany_pc_first,-0.056606157027989136
96,birth: england_first,-0.05342809930163212
248,birth: new zealand_pc_first,-0.0527550356035234
21,f90_miscellaneous_offences_first,-0.05247112256007058
272,studying: tertiary PT 25+_pc_first,-0.050397062070134224
497,population: 45-49_pc_change,-0.049492273476085036
57,economic: top 1% suburb_first,-0.04901854845043699
201,population: 25-29_pc_first,-0.04778189862863418
261,birth: korea republic of south_pc_first,-0.04629363667900587
471,f20_transport_regulation_offences_pc_change,-0.04621663070237499
312,f20_transport_regulation_offences_change,-0.04621251390332432
355,population: 0-4_change,-0.044327910339936424
140,studying: tertiary PT 25+_first,-0.043187251082446323
251,birth: france_pc_first,-0.04249975283711217
280,studying: tertiary total_pc_first,-0.042273569325000475
253,birth: netherlands_pc_first,-0.04206276290301934
235,birth: china excludes sars and taiwan_pc_first,-0.04188195752292159
195,economic: gdp per capita quarterly_pc_first,-0.04187372985863406
104,birth: poland_first,-0.041745117858108874
139,studying: tertiary PT 14-25_first,-0.04155800709011367
110,birth: mauritius_first,-0.04080328875949747
181,c90_other_drug_offences_pc_first,-0.040496241149887854
347,economic: median income_change,-0.03926379800461837
227,birth: north macedonia_pc_first,-0.03920918731419946
95,birth: north macedonia_first,-0.03812819240939551
103,birth: china excludes sars and taiwan_first,-0.037615339285525046
460,b30_burglary/break_and_enter_pc_change,-0.036955241639556616
202,population: 30-34_pc_first,-0.03645786597837388
242,birth: mauritius_pc_first,-0.036230725778664125
268,studying: tertiary FT 14-25_pc_first,-0.03552910513537769
128,birth: canada_first,-0.033221001345485245
234,birth: scotland_pc_first,-0.032599792158183656
146,studying: secondary government_first,-0.03211683924925283
33,avg_school_number_vce_subjects_first,-0.031631134013150916
200,population: 20-24_pc_first,-0.03128214753571933
30,best_school_median_study_score_first,-0.029387803063283358
47,developed_area_first,-0.02938635945760665
56,economic: top 5% suburb_first,-0.029174191506240493
102,birth: scotland_first,-0.028816487183585145
48,built_percentage_first,-0.028663108884781085
129,birth: korea republic of south_first,-0.027985176725648722
69,population: 30-34_first,-0.0273877524392131
269,studying: tertiary FT 25+_pc_first,-0.026942520359061542
90,birth: afghanistan age_first,-0.026838117114699186
68,population: 25-29_first,-0.026335251037516494
301,b30_burglary/break_and_enter_change,-0.026259274506604945
142,studying: primary government_first,-0.026212650194510467
461,b40_theft_pc_change,-0.025796940292990136
222,birth: afghanistan age_pc_first,-0.025404946639034233
172,c20_cultivate_or_manufacture_drugs_pc_first,-0.025392385236891416
107,birth: greece_first,-0.025388323107977277
116,birth: new zealand_first,-0.025273435335177622
221,birth: egypt_pc_first,-0.024526258386114396
155,relationships: group household_first,-0.02329665112715171
369,population: 70-74_change,-0.023102708935485317
246,birth: philippines_pc_first,-0.022653461031817368
124,birth: bosnia and herzegovina_first,-0.021811718340823887
498,population: 50-54_pc_change,-0.021126313689616042
356,population: 5-9_change,-0.020827342789923257
119,birth: france_first,-0.02050275908560205
71,population: 40-44_first,-0.019463712520878966
185,b60_bribery_pc_first,-0.019038573229758833
