,variable,correlation,correlation_with_distance
291,relationships: lone parents_pc,-0.7246171754513154,0.5206295513236594
45,distance_to_cbd,-0.6520222532863696,0.9961861600986074
44,crow_distance_to_cbd,-0.6519630460264351,0.9929416632266996
53,nature_percentage,-0.6503967654848767,0.702546490306836
167,b10_arson_pc,-0.545997097884041,0.39364186896623726
8,b10_arson,-0.5279902092881112,0.30529403450811354
278,studying: primary catholic_pc,-0.524445336240966,0.45587274953929646
165,a80_dangerous_and_negligent_acts_endangering_people_pc,-0.48708167002596314,0.3642482875453878
220,birth: country of birth not stated_pc,-0.4789894399115389,0.42668496722606575
6,a80_dangerous_and_negligent_acts_endangering_people,-0.44616520430755746,0.2305650043163489
197,population: 0-4_pc,-0.44408567498489193,0.20944200879619873
286,relationships: non dependent child_pc,-0.4434194264621673,0.17989106479485073
218,birth: australia_pc,-0.44180651930853093,0.5802749287767055
179,e20_breaches_of_orders_pc,-0.4409384639546857,0.37176725623448503
47,developed_area,-0.4351515017203939,0.32509492284322844
20,e20_breaches_of_orders,-0.4319141412511162,0.2812155462612211
279,studying: secondary government_pc,-0.4095248497563269,0.2856342302576276
253,birth: total_pc,-0.3984350135306473,0.3753454171069069
254,birth: netherlands_pc,-0.39088478763583234,0.36468751510465625
173,c20_cultivate_or_manufacture_drugs_pc,-0.38910705345232893,0.2568873697281115
283,relationships: child under 15_pc,-0.3752962282192519,0.3081223783118147
164,"a70_stalking,_harassment_and_threatening_behaviour_pc",-0.3710004442220927,0.2742943118523256
5,"a70_stalking,_harassment_and_threatening_behaviour",-0.36543668796116807,0.1676561986605744
178,e10_justice_procedures_pc,-0.36167578230247155,0.298304228253037
168,b20_property_damage_pc,-0.3599238259491806,0.29310299193931844
198,population: 5-9_pc,-0.34883666462464086,0.2993497292942205
9,b20_property_damage,-0.3419085761779501,0.1864509346117581
175,d10_weapons_and_explosives_offences_pc,-0.33616014950270273,0.23676084212604867
210,population: 65-69_pc,-0.33199866665802813,0.4979389338351702
212,population: 75-79_pc,-0.32935967631533175,0.4718144159243018
276,studying: secondary catholic_pc,-0.32792623268846094,0.35256688400883035
213,population: 80-84_pc,-0.32703086974270984,0.4358363338423582
19,e10_justice_procedures,-0.32551479946618056,0.19350716031368553
14,c20_cultivate_or_manufacture_drugs,-0.32329446640063947,0.10719636490002045
271,studying: primary total_pc,-0.3216750327713499,0.30433922905661387
209,population: 60-64_pc,-0.3146579368605926,0.47559509539635986
162,a20_assault_and_related_offences_pc,-0.31386601376037176,0.262060459218434
7,other_crimes_against_the_person,-0.2914197238612825,0.16690176663541564
166,other_crimes_against_the_person_pc,-0.28853011482787644,0.24308783352339355
247,birth: philippines_pc,-0.27486879762835026,-0.03946028653535086
145,studying: primary catholic,-0.27106778033127216,0.10887035502599866
16,d10_weapons_and_explosives_offences,-0.26993065331039073,0.10323051011003423
199,population: 10-14_pc,-0.26848550650835684,0.3345214541104804
46,total_area,-0.2683036536540812,0.3349907755529597
