,variable,correlation,correlation_with_distance
290,relationships: lone parents_pc,-0.709921930379791,0.5206295513236594
45,distance_to_cbd,-0.6977472158484073,0.9961861600986074
44,crow_distance_to_cbd,-0.6917854651342491,0.9929416632266996
53,nature_percentage,-0.6814516766667424,0.702546490306836
277,studying: primary catholic_pc,-0.6059278396445409,0.45587274953929646
217,birth: australia_pc,-0.5516578021311593,0.5802749287767055
166,b10_arson_pc,-0.512750642054099,0.39364186896623726
197,population: 5-9_pc,-0.5040074025708174,0.2993497292942205
282,relationships: child under 15_pc,-0.49974843548042647,0.3081223783118147
8,b10_arson,-0.48798668124567035,0.30529403450811354
196,population: 0-4_pc,-0.47847725222485904,0.20944200879619873
270,studying: primary total_pc,-0.47176511161028206,0.30433922905661387
275,studying: secondary catholic_pc,-0.4664113795049804,0.35256688400883035
285,relationships: non dependent child_pc,-0.4648319865986599,0.17989106479485073
47,developed_area,-0.46375644241129726,0.32509492284322844
253,birth: netherlands_pc,-0.45690017442359193,0.36468751510465625
198,population: 10-14_pc,-0.4538413294468688,0.3345214541104804
164,a80_dangerous_and_negligent_acts_endangering_people_pc,-0.43230103571042766,0.3642482875453878
278,studying: secondary government_pc,-0.4288723035239323,0.2856342302576276
209,population: 65-69_pc,-0.428538316706008,0.4979389338351702
208,population: 60-64_pc,-0.42441234535530536,0.47559509539635986
252,birth: total_pc,-0.42289725135429923,0.3753454171069069
211,population: 75-79_pc,-0.4199189956316633,0.4718144159243018
212,population: 80-84_pc,-0.4143872080680788,0.4358363338423582
178,e20_breaches_of_orders_pc,-0.40761731991163846,0.37176725623448503
276,studying: preschool_pc,-0.387775798141202,0.21222122444662583
20,e20_breaches_of_orders,-0.383008340899852,0.2812155462612211
6,a80_dangerous_and_negligent_acts_endangering_people,-0.3703123603193016,0.2305650043163489
207,population: 55-59_pc,-0.3663472251798177,0.3736477998253916
219,birth: country of birth not stated_pc,-0.36340371542436495,0.42668496722606575
210,population: 70-74_pc,-0.3577345866304526,0.4344184500653483
274,studying: primary government_pc,-0.35009713024744243,0.1967961552910119
213,population: 85 and over_pc,-0.3475983480064096,0.3743448592563988
279,studying: secondary total_pc,-0.3474702206824945,0.22792703713250956
54,economic: median age of earners,-0.32595961395969736,0.3885695551438549
167,b20_property_damage_pc,-0.3213538989125973,0.29310299193931844
163,"a70_stalking,_harassment_and_threatening_behaviour_pc",-0.31474447113400805,0.2742943118523256
172,c20_cultivate_or_manufacture_drugs_pc,-0.31238896023610496,0.2568873697281115
177,e10_justice_procedures_pc,-0.3040122791239097,0.298304228253037
46,total_area,-0.29052642954837044,0.3349907755529597
5,"a70_stalking,_harassment_and_threatening_behaviour",-0.2894146928802642,0.1676561986605744
199,population: 15-19_pc,-0.2877728165664261,0.23148387748958577
145,studying: primary catholic,-0.28541220343176693,0.10887035502599866
9,b20_property_damage,-0.27525299132208597,0.1864509346117581
121,birth: netherlands,-0.26148878457665997,0.12764770281410603
19,e10_justice_procedures,-0.2537669787564524,0.19350716031368553
174,d10_weapons_and_explosives_offences_pc,-0.2535777001440708,0.23676084212604867
165,other_crimes_against_the_person_pc,-0.25146019718233914,0.24308783352339355
288,relationships: married_pc,-0.24460708600321124,0.1727550613522083
7,other_crimes_against_the_person,-0.24349061443709014,0.16690176663541564
161,a20_assault_and_related_offences_pc,-0.23604832344281676,0.262060459218434
14,c20_cultivate_or_manufacture_drugs,-0.235662459471195,0.10719636490002045
158,relationships: lone parents,-0.2098934933769095,0.032335273494220364
143,studying: secondary catholic,-0.2037172877587918,0.06326467146717603
0,Unnamed: 0,-0.19193345473960693,0.1476541571675489
16,d10_weapons_and_explosives_offences,-0.17852933337156798,0.10323051011003423
206,population: 50-54_pc,-0.16704609488434144,0.1144864317824579
85,birth: australia,-0.15979316471730048,0.05763565498774411
87,birth: country of birth not stated,-0.1544110763340537,0.05877822233542479
186,total_crimes_pc,-0.14395605303194048,0.13971855061362878
3,a20_assault_and_related_offences,-0.14252349675434856,0.11782358378892614
254,birth: myanmar_pc,-0.14087770801021857,-0.01828118908746328
153,relationships: non dependent child,-0.1404248063270917,-0.06154625397772102
246,birth: philippines_pc,-0.13778536472876776,-0.03946028653535086
187,economic: median age of earners_pc,-0.13583751695124954,0.2224867356585519
23,c90_other_drug_offences,-0.13485830770647655,0.06370684241562398
181,c90_other_drug_offences_pc,-0.13393249145506925,0.06659244844955667
146,studying: secondary government,-0.1308090217473124,-0.017212824909194884
222,birth: afghanistan age_pc,-0.12929191178539765,0.00839383303162997
176,d30_public_nuisance_offences_pc,-0.12848558364435037,0.2314120718228886
150,relationships: child under 15,-0.12440666092278839,-0.02920052014579637
28,total_crimes,-0.12047692930590921,0.03615658378661656
138,studying: primary total,-0.11984233834924563,-0.02469911330267989
64,population: 5-9,-0.11876047446796476,-0.03962840099658295
63,population: 0-4,-0.11760210720688016,-0.06541738616091915
168,b30_burglary/break_and_enter_pc,-0.11682958672459404,0.04550541332772305
243,birth: samoa_pc,-0.11677401286563795,-0.03954231856060673
233,birth: malta_pc,-0.11116112565951736,-0.1154916874367756
65,population: 10-14,-0.11032284985760352,-0.025803207161968652
76,population: 65-69,-0.10895507792355082,0.02535183879103458
90,birth: afghanistan age,-0.1077584854008906,-0.01405177990214187
240,birth: pakistan_pc,-0.10607232838010582,-0.1220741984627885
133,birth: croatia,-0.10375039076352544,-0.14963647338658623
124,birth: bosnia and herzegovina,-0.10211949416599747,-0.13606853200027663
111,birth: samoa,-0.10207789953072481,-0.04144860001836558
265,birth: croatia_pc,-0.10198767931828236,-0.10758344548089221
144,studying: preschool,-0.1005086762994064,-0.046620457625450085
78,population: 75-79,-0.09759806006929007,0.0381117331997434
256,birth: bosnia and herzegovina_pc,-0.09473325274390021,-0.16710045194620277
101,birth: malta,-0.09304251959260966,-0.11437239304912766
108,birth: pakistan,-0.09258719898984141,-0.11509188115337499
142,studying: primary government,-0.09193773612636875,-0.04400682499081903
77,population: 70-74,-0.08999497094388892,0.026513882271780642
79,population: 80-84,-0.08823608080294981,0.01792251095903038
10,b30_burglary/break_and_enter,-0.07827500766137778,-0.04536964145713471
147,studying: secondary total,-0.07801057421406508,-0.05247554099613575
75,population: 60-64,-0.0773894432650306,-0.02229726416050444
122,birth: myanmar,-0.07721257433261942,-0.053935240602470826
114,birth: philippines,-0.07589245429343487,-0.08779733364139412
60,economic: variable interest rate,-0.06988358821285821,-1.184337515335073e-15
80,population: 85 and over,-0.0643221836871712,0.010962691981271993
130,birth: cambodia,-0.060826280875062755,-0.06342292975519152
98,birth: fiji,-0.05892505199049084,-0.09234288052598191
192,economic: trimmed mean quarterly_pc,-0.058636437153487035,0.13516258359535047
18,d30_public_nuisance_offences,-0.05811778857166179,0.1427432493606623
273,studying: tafe total_pc,-0.0579997045660638,0.029602059314585066
241,birth: iraq_pc,-0.0570799791949452,-0.04627294532932149
193,economic: variable interest rate_pc,-0.05705357590029395,0.13997626198571375
284,relationships: other related individual_pc,-0.05284489961379524,-0.13683057984625627
109,birth: iraq,-0.05262720611830856,-0.04419279584393921
262,birth: cambodia_pc,-0.050743798009352366,-0.06074542248837209
194,economic: gdp quarterly_pc,-0.049130610527996145,0.09397043653529479
74,population: 55-59,-0.04786504604318596,-0.0658087694986061
66,population: 15-19,-0.03197335986855486,-0.07633480809144809
230,birth: fiji_pc,-0.03113188969609058,-0.1377165329595579
195,economic: gdp per capita quarterly_pc,-0.02606069119083975,0.038767959785035416
110,birth: mauritius,-0.025440099402921586,-0.11641058612081681
156,relationships: married,-0.024230370430835646,-0.09272525866607081
59,economic: trimmed mean quarterly,-0.022693902583603147,3.598025992860649e-16
115,birth: vietnam,-0.021516946797828007,-0.13755761548186973
127,birth: turkey,-0.021318023593784624,-0.09616767826654393
173,c30_drug_use_and_possession_pc,-0.018135652532464904,0.09273644817687214
61,economic: gdp quarterly,-0.018025900001160063,3.190311585193455e-16
227,birth: north macedonia_pc,-0.016353452678786008,-0.1483814215165392
95,birth: north macedonia,-0.01542200436477678,-0.11373195187443162
152,relationships: other related individual,-0.012947634682324212,-0.15109455103995573
62,economic: gdp per capita quarterly,-0.011266600378838747,5.904669897225312e-17
102,birth: scotland,-0.011198270218446158,-0.09039072332674408
120,birth: total,-0.010152782583950649,-0.1109420130422046
13,c10_drug_dealing_and_trafficking,-0.009516491195156549,0.04224341064295429
15,c30_drug_use_and_possession,-0.009362958710256065,0.0037815754365306802
171,c10_drug_dealing_and_trafficking_pc,-0.007684170052652219,0.10001183671666405
118,birth: lebanon,-0.006042334158317848,-0.19052477826517583
94,birth: nepal,-0.005674712152436855,-0.13359404191158541
73,population: 50-54,-0.003571626600632757,-0.12262534413083667
141,studying: tafe total,-0.0022771618713115357,-0.10432021390236793
226,birth: nepal_pc,-0.0020217585149309276,-0.14681493655633907
126,birth: bangladesh,0.006382207029994185,-0.1572613700484377
2,quarter,0.006483236935342384,-5.789930480907943e-16
180,f90_miscellaneous_offences_pc,0.014396060149038504,0.08495221467849856
259,birth: turkey_pc,0.017865976120286925,-0.12252708458649866
112,birth: sri lanka,0.019143234540840014,-0.13906270288410272
247,birth: vietnam_pc,0.021308327370213723,-0.1739082737309955
250,birth: lebanon_pc,0.023314380323840346,-0.2318337751389088
135,studying: primary other,0.025029924151993118,-0.09368130900734908
234,birth: scotland_pc,0.02509147084627513,-0.06016914701812587
125,birth: zimbabwe,0.02547933401643216,-0.0675629374238615
258,birth: bangladesh_pc,0.02712251038887421,-0.20287678340884713
175,d20_disorderly_and_offensive_conduct_pc,0.0272675339716587,0.08245664957010572
81,population: total persons,0.029047798294419943,-0.14814982218728612
72,population: 45-49,0.03448766764338843,-0.16367250989799043
83,birth: wales,0.037960905004181596,-0.08088248029752261
289,relationships: dependent student_pc,0.04055470537089806,-0.1595118659983477
22,f90_miscellaneous_offences,0.041272215716980296,0.026166317381978325
267,studying: primary other_pc,0.044359041589495225,-0.0333235440457552
11,b40_theft,0.044981756054164074,-0.17631115621652935
157,relationships: dependent student,0.04562088000214096,-0.1682031798675569
113,birth: india,0.046133355285292985,-0.15018991794992412
25,d40_public_security_offences,0.048280508374886476,0.03582271570349621
71,population: 40-44,0.051103979864090855,-0.19448244090416736
17,d20_disorderly_and_offensive_conduct,0.05274771265098486,0.047359474722075905
191,economic: gini coefficient_pc,0.05766598664552353,0.05792091022497902
169,b40_theft_pc,0.05890346550381504,-0.09109979839063306
242,birth: mauritius_pc,0.06217069098805799,-0.22614585368043716
84,birth: papua new guinea,0.06383283983358422,-0.17852826311438805
244,birth: sri lanka_pc,0.06560472764466134,-0.1999439603956688
205,population: 45-49_pc,0.06593564868971837,-0.15096372537484254
27,b60_bribery,0.06720975052746682,-0.1019253078420149
185,b60_bribery_pc,0.06830115184598083,-0.08335085064522961
26,f10_regulatory_driving_offences,0.06864557761191288,-0.04547938912741691
184,f10_regulatory_driving_offences_pc,0.07270743397068159,-0.019107405744598824
134,birth: germany,0.0734800479422619,-0.20039606877948546
51,water_percentage,0.07667860893397883,0.1003072939283047
12,b50_deception,0.08356476200704352,-0.12367119161412488
183,d40_public_security_offences_pc,0.09336796605645933,-0.010204497796110521
257,birth: zimbabwe_pc,0.09557027744015735,-0.017021727271701554
96,birth: england,0.09796160541569872,-0.1421471146676955
170,b50_deception_pc,0.09985356448795144,-0.04934004588614079
97,birth: chile,0.10396563747470469,-0.2772615790676956
