,variable,correlation,correlation_with_distance
290,relationships: lone parents_pc,-0.7661725800894434,0.5206295513236594
53,nature_percentage,-0.7138375271525855,0.702546490306836
285,relationships: non dependent child_pc,-0.6270899601105318,0.17989106479485073
45,distance_to_cbd,-0.6152406162245242,0.9961861600986074
44,crow_distance_to_cbd,-0.6096612267505409,0.9929416632266996
277,studying: primary catholic_pc,-0.5875803258102456,0.45587274953929646
278,studying: secondary government_pc,-0.5867119371788482,0.2856342302576276
47,developed_area,-0.58360023968649,0.32509492284322844
252,birth: total_pc,-0.5514930033005865,0.3753454171069069
282,relationships: child under 15_pc,-0.544734194451883,0.3081223783118147
8,b10_arson,-0.5114229589678628,0.30529403450811354
270,studying: primary total_pc,-0.5052959911625284,0.30433922905661387
197,population: 5-9_pc,-0.48533683382239384,0.2993497292942205
196,population: 0-4_pc,-0.47419580232443626,0.20944200879619873
6,a80_dangerous_and_negligent_acts_endangering_people,-0.4679579699381259,0.2305650043163489
166,b10_arson_pc,-0.45912274184431695,0.39364186896623726
275,studying: secondary catholic_pc,-0.4562971734353749,0.35256688400883035
274,studying: primary government_pc,-0.44495321859871684,0.1967961552910119
198,population: 10-14_pc,-0.44384786726290354,0.3345214541104804
164,a80_dangerous_and_negligent_acts_endangering_people_pc,-0.4365821280667315,0.3642482875453878
20,e20_breaches_of_orders,-0.41701223573723767,0.2812155462612211
253,birth: netherlands_pc,-0.4155142288918063,0.36468751510465625
199,population: 15-19_pc,-0.4116122532658876,0.23148387748958577
145,studying: primary catholic,-0.4115204320423919,0.10887035502599866
288,relationships: married_pc,-0.40749089273776773,0.1727550613522083
219,birth: country of birth not stated_pc,-0.40462259838381054,0.42668496722606575
209,population: 65-69_pc,-0.3982478752237703,0.4979389338351702
208,population: 60-64_pc,-0.3944537374903093,0.47559509539635986
276,studying: preschool_pc,-0.38731893049289146,0.21222122444662583
211,population: 75-79_pc,-0.3851775803738176,0.4718144159243018
158,relationships: lone parents,-0.37687573744631064,0.032335273494220364
5,"a70_stalking,_harassment_and_threatening_behaviour",-0.3749715503927189,0.1676561986605744
178,e20_breaches_of_orders_pc,-0.37324928863369583,0.37176725623448503
217,birth: australia_pc,-0.37103387514149994,0.5802749287767055
14,c20_cultivate_or_manufacture_drugs,-0.3685564765014685,0.10719636490002045
279,studying: secondary total_pc,-0.3662083757858841,0.22792703713250956
212,population: 80-84_pc,-0.35737631093766103,0.4358363338423582
246,birth: philippines_pc,-0.35103640306317946,-0.03946028653535086
172,c20_cultivate_or_manufacture_drugs_pc,-0.34311948731484804,0.2568873697281115
19,e10_justice_procedures,-0.3414961693120659,0.19350716031368553
143,studying: secondary catholic,-0.3399851787458164,0.06326467146717603
210,population: 70-74_pc,-0.3269256508256871,0.4344184500653483
153,relationships: non dependent child,-0.3244244058999985,-0.06154625397772102
9,b20_property_damage,-0.32078601601685536,0.1864509346117581
121,birth: netherlands,-0.3198701627379493,0.12764770281410603
87,birth: country of birth not stated,-0.3194712970934705,0.05877822233542479
7,other_crimes_against_the_person,-0.3146875698048842,0.16690176663541564
163,"a70_stalking,_harassment_and_threatening_behaviour_pc",-0.3070509993183359,0.2742943118523256
177,e10_justice_procedures_pc,-0.3068740095743802,0.298304228253037
146,studying: secondary government,-0.30637308434111976,-0.017212824909194884
284,relationships: other related individual_pc,-0.3061196668771631,-0.13683057984625627
54,economic: median age of earners,-0.30602625660928967,0.3885695551438549
16,d10_weapons_and_explosives_offences,-0.30242085336383173,0.10323051011003423
207,population: 55-59_pc,-0.29365931092274455,0.3736477998253916
174,d10_weapons_and_explosives_offences_pc,-0.288712504990542,0.23676084212604867
273,studying: tafe total_pc,-0.28757201878154137,0.029602059314585066
3,a20_assault_and_related_offences,-0.28252170989870595,0.11782358378892614
46,total_area,-0.27468423048890006,0.3349907755529597
150,relationships: child under 15,-0.2721085814463289,-0.02920052014579637
138,studying: primary total,-0.26745342199298594,-0.02469911330267989
76,population: 65-69,-0.26678652326618874,0.02535183879103458
161,a20_assault_and_related_offences_pc,-0.2603319895768068,0.262060459218434
85,birth: australia,-0.2600444126869226,0.05763565498774411
64,population: 5-9,-0.2581209126656878,-0.03962840099658295
213,population: 85 and over_pc,-0.25638226074953735,0.3743448592563988
63,population: 0-4,-0.2560760648296376,-0.06541738616091915
78,population: 75-79,-0.2547114111271697,0.0381117331997434
65,population: 10-14,-0.25151322881501637,-0.025803207161968652
142,studying: primary government,-0.24999566757885103,-0.04400682499081903
243,birth: samoa_pc,-0.24487905626648174,-0.03954231856060673
77,population: 70-74,-0.2427428375605542,0.026513882271780642
114,birth: philippines,-0.2419104420172274,-0.08779733364139412
167,b20_property_damage_pc,-0.24031182363219478,0.29310299193931844
144,studying: preschool,-0.2401993776683237,-0.046620457625450085
75,population: 60-64,-0.23922179202480004,-0.02229726416050444
79,population: 80-84,-0.23587561996866316,0.01792251095903038
165,other_crimes_against_the_person_pc,-0.2354499874819839,0.24308783352339355
254,birth: myanmar_pc,-0.23536514946346626,-0.01828118908746328
141,studying: tafe total,-0.23289692016415287,-0.10432021390236793
66,population: 15-19,-0.2322868384063351,-0.07633480809144809
152,relationships: other related individual,-0.22923896439874722,-0.15109455103995573
147,studying: secondary total,-0.2286934700735113,-0.05247554099613575
156,relationships: married,-0.22131674129156492,-0.09272525866607081
230,birth: fiji_pc,-0.21161864408493036,-0.1377165329595579
28,total_crimes,-0.2114269511543589,0.03615658378661656
240,birth: pakistan_pc,-0.20422240901891986,-0.1220741984627885
133,birth: croatia,-0.20124942769394996,-0.14963647338658623
108,birth: pakistan,-0.20021659477708834,-0.11509188115337499
74,population: 55-59,-0.19898417709496757,-0.0658087694986061
120,birth: total,-0.19844796423988262,-0.1109420130422046
111,birth: samoa,-0.19740490942981667,-0.04144860001836558
233,birth: malta_pc,-0.19118070885224914,-0.1154916874367756
98,birth: fiji,-0.18807619335133893,-0.09234288052598191
18,d30_public_nuisance_offences,-0.17873753022603858,0.1427432493606623
80,population: 85 and over,-0.17840968175622834,0.010962691981271993
101,birth: malta,-0.17550284219921597,-0.11437239304912766
122,birth: myanmar,-0.17418844818808107,-0.053935240602470826
124,birth: bosnia and herzegovina,-0.16374212273791527,-0.13606853200027663
126,birth: bangladesh,-0.16269455316842116,-0.1572613700484377
10,b30_burglary/break_and_enter,-0.15840447334241095,-0.04536964145713471
81,population: total persons,-0.15719973710497073,-0.14814982218728612
113,birth: india,-0.15626849611783336,-0.15018991794992412
176,d30_public_nuisance_offences_pc,-0.1556871370564544,0.2314120718228886
73,population: 50-54,-0.15433826694433947,-0.12262534413083667
222,birth: afghanistan age_pc,-0.14929070461888286,0.00839383303162997
112,birth: sri lanka,-0.14235311451073185,-0.13906270288410272
0,Unnamed: 0,-0.13057404471030826,0.1476541571675489
90,birth: afghanistan age,-0.12979046727891055,-0.01405177990214187
15,c30_drug_use_and_possession,-0.12911996348600827,0.0037815754365306802
256,birth: bosnia and herzegovina_pc,-0.12673674903720117,-0.16710045194620277
265,birth: croatia_pc,-0.1259437446669013,-0.10758344548089221
157,relationships: dependent student,-0.12537282719942885,-0.1682031798675569
23,c90_other_drug_offences,-0.12354023482793065,0.06370684241562398
186,total_crimes_pc,-0.12194209801381711,0.13971855061362878
245,birth: india_pc,-0.11782114601777163,-0.23761264470932766
244,birth: sri lanka_pc,-0.11712581479445361,-0.1999439603956688
181,c90_other_drug_offences_pc,-0.11541314343029101,0.06659244844955667
110,birth: mauritius,-0.1101521066958884,-0.11641058612081681
72,population: 45-49,-0.10822264027202902,-0.16367250989799043
258,birth: bangladesh_pc,-0.10784844133856913,-0.20287678340884713
13,c10_drug_dealing_and_trafficking,-0.10750074593096541,0.04224341064295429
95,birth: north macedonia,-0.10409112900587651,-0.11373195187443162
118,birth: lebanon,-0.09801860747145524,-0.19052477826517583
109,birth: iraq,-0.09759243672148246,-0.04419279584393921
71,population: 40-44,-0.09742351333214512,-0.19448244090416736
241,birth: iraq_pc,-0.09598412004140668,-0.04627294532932149
91,birth: thailand,-0.0946013925176834,-0.14295366357732256
130,birth: cambodia,-0.08637644765784652,-0.06342292975519152
89,birth: egypt,-0.08621182793250479,-0.25492529813650144
206,population: 50-54_pc,-0.08413692081075763,0.1144864317824579
227,birth: north macedonia_pc,-0.08317273187973681,-0.1483814215165392
127,birth: turkey,-0.07717202996734857,-0.09616767826654393
94,birth: nepal,-0.07716722394444085,-0.13359404191158541
125,birth: zimbabwe,-0.07339787284811923,-0.0675629374238615
115,birth: vietnam,-0.07247130279862593,-0.13755761548186973
173,c30_drug_use_and_possession_pc,-0.06899909743683492,0.09273644817687214
262,birth: cambodia_pc,-0.06880069405398943,-0.06074542248837209
51,water_percentage,-0.05739773203127299,0.1003072939283047
17,d20_disorderly_and_offensive_conduct,-0.049013064667546874,0.047359474722075905
67,population: 20-24,-0.04853250280387627,-0.22447437577834836
159,economic: number of earners,-0.04789664653044833,-0.19259113296044225
60,economic: variable interest rate,-0.04725880412458019,-1.184337515335073e-15
70,population: 35-39,-0.04461490312695971,-0.24854126007438793
171,c10_drug_dealing_and_trafficking_pc,-0.04309913646052974,0.10001183671666405
22,f90_miscellaneous_offences,-0.04236858296285695,0.026166317381978325
102,birth: scotland,-0.04120858305460129,-0.09039072332674408
180,f90_miscellaneous_offences_pc,-0.04027343648120244,0.08495221467849856
242,birth: mauritius_pc,-0.03656411266538794,-0.22614585368043716
168,b30_burglary/break_and_enter_pc,-0.03515210965223837,0.04550541332772305
117,birth: iran,-0.03348296162156149,-0.21586641919796543
132,birth: italy,-0.030383911080725665,-0.23615016208496406
250,birth: lebanon_pc,-0.029928152198209046,-0.2318337751389088
226,birth: nepal_pc,-0.029209119280149517,-0.14681493655633907
289,relationships: dependent student_pc,-0.028420535352834488,-0.1595118659983477
223,birth: thailand_pc,-0.022541411552393302,-0.15386305351967297
135,studying: primary other,-0.020318376865139896,-0.09368130900734908
11,b40_theft,-0.019173767549905574,-0.17631115621652935
4,a50_robbery,-0.015647752911517866,-0.20932037800389144
259,birth: turkey_pc,-0.01563824837018424,-0.12252708458649866
187,economic: median age of earners_pc,-0.014756328151819145,0.2224867356585519
175,d20_disorderly_and_offensive_conduct_pc,-0.01431246148675887,0.08245664957010572
247,birth: vietnam_pc,-0.013332916751117264,-0.1739082737309955
59,economic: trimmed mean quarterly,-0.012473256676355734,3.598025992860649e-16
61,economic: gdp quarterly,-0.010833846691434066,3.190311585193455e-16
25,d40_public_security_offences,-0.00985327899656265,0.03582271570349621
50,disturbed_percentage,-0.009844654224592884,-0.1480585959679062
62,economic: gdp per capita quarterly,-0.005177427859955165,5.904669897225312e-17
2,quarter,0.0032452232506993434,-5.789930480907943e-16
24,f30_other_government_regulatory_offences,0.0046587491497149195,-0.05326223026888661
97,birth: chile,0.005054541300760507,-0.2772615790676956
84,birth: papua new guinea,0.005882927697094366,-0.17852826311438805
134,birth: germany,0.007438989216135536,-0.20039606877948546
83,birth: wales,0.010742969090272262,-0.08088248029752261
195,economic: gdp per capita quarterly_pc,0.015949172919174026,0.038767959785035416
12,b50_deception,0.022601389865821133,-0.12367119161412488
182,f30_other_government_regulatory_offences_pc,0.0326486977829367,-0.03911574562127713
131,birth: born elsewhere,0.033823124870642554,-0.3268422097084201
69,population: 30-34,0.0385630620301337,-0.29986532642167213
86,birth: malaysia,0.03929073121676082,-0.19195056603895516
194,economic: gdp quarterly_pc,0.04062793535712384,0.09397043653529479
183,d40_public_security_offences_pc,0.041950804702050495,-0.010204497796110521
116,birth: new zealand,0.04284121901254196,-0.22371489920925544
88,birth: indonesia,0.04495610462558563,-0.25318931573726305
221,birth: egypt_pc,0.05032913433922598,-0.3351944709442782
26,f10_regulatory_driving_offences,0.05809302463750176,-0.04547938912741691
129,birth: korea republic of south,0.05998712536575309,-0.26662624242238336
154,relationships: lone persons,0.06491568910918276,-0.1325205790642127
192,economic: trimmed mean quarterly_pc,0.06698435393563525,0.13516258359535047
193,economic: variable interest rate_pc,0.06771625997615581,0.13997626198571375
184,f10_regulatory_driving_offences_pc,0.07015657332982493,-0.019107405744598824
257,birth: zimbabwe_pc,0.0722466802108536,-0.017021727271701554
264,birth: italy_pc,0.07541756961508032,-0.2768854817755788
185,b60_bribery_pc,0.07749243231613831,-0.08335085064522961
103,birth: china excludes sars and taiwan,0.07797700597129775,-0.2602350966779116
249,birth: iran_pc,0.07844726936614571,-0.3183262207189002
99,birth: taiwan,0.08113122135841716,-0.21406070870885635
68,population: 25-29,0.08391632974722024,-0.3085913302609225
96,birth: england,0.08467995652817932,-0.1421471146676955
151,relationships: defacto,0.08560301016676644,-0.18101377578327468
149,overseas: 5 years,0.08644029002600868,-0.30955701282307035
170,b50_deception_pc,0.0885350537926503,-0.04934004588614079
93,birth: hong kong sar of china,0.09315044394857486,-0.22890450972528809
1,year,0.09536750386049413,1.2099466807477734e-13
27,b60_bribery,0.09929497250581895,-0.1019253078420149
104,birth: poland,0.10131334007039239,-0.29374546685501896
169,b40_theft_pc,0.11265199252707982,-0.09109979839063306
162,a50_robbery_pc,0.11586457739056573,-0.2242798697167128
34,avg_school_number_vce_subjects,0.1189351223028964,-0.16347194356755113
160,housing: count,0.12378283510495504,-0.12953124736510446
21,f20_transport_regulation_offences,0.13733672011765793,-0.25290151985087567
234,birth: scotland_pc,0.1530705363144456,-0.06016914701812587
216,birth: papua new guinea_pc,0.15325669094728506,-0.12572804310982663
107,birth: greece,0.15697666292533136,-0.3246908877954008
136,studying: tertiary FT 14-25,0.15907485067587507,-0.36154386293251345
267,studying: primary other_pc,0.1608081787009393,-0.0333235440457552
200,population: 20-24_pc,0.16325714295752664,-0.2376556056259742
261,birth: korea republic of south_pc,0.16392541199585048,-0.31542786781729254
29,best_school_number_vce_subjects,0.16704551238162363,-0.23146337318559937
218,birth: malaysia_pc,0.16882414665828763,-0.24491501505703545
105,birth: singapore,0.1690727298286003,-0.3455501506767588
106,birth: south africa,0.17081512903723542,-0.17671498465313623
220,birth: indonesia_pc,0.17093783079797362,-0.3121470017758735
235,birth: china excludes sars and taiwan_pc,0.18450027955343729,-0.3290559683377852
191,economic: gini coefficient_pc,0.18497249211500447,0.05792091022497902
179,f20_transport_regulation_offences_pc,0.187140402777737,-0.20894335018946156
48,built_percentage,0.19570829631671977,-0.28782128146312036
205,population: 45-49_pc,0.19633968443177716,-0.15096372537484254
137,studying: tertiary FT 25+,0.19790059974757276,-0.3885130395114455
231,birth: taiwan_pc,0.20367023313352473,-0.26146417941339267
139,studying: tertiary PT 14-25,0.2078055132851061,-0.42539614993219194
148,studying: tertiary total,0.2089608138327372,-0.40635039243140153
215,birth: wales_pc,0.21512906356929992,-0.08303428318188814
225,birth: hong kong sar of china_pc,0.23001815106452875,-0.3235421352906616
39,zoned_school_number_vce_subjects,0.24636821521282384,-0.21976229205629297
155,relationships: group household,0.24799433400309126,-0.325429912178322
266,birth: germany_pc,0.2481501626482529,-0.18440520098375168
40,zoned_school_satisfactory_complete_vce_percent,0.26026820925004374,-0.031962356587390814
188,economic: median income_pc,0.2630383755990954,-0.014145806406110241
30,best_school_satisfactory_complete_vce_percent,0.2918250649521887,-0.1985237747601626
35,avg_school_satisfactory_complete_vce_percent,0.29539969783679154,-0.2202974602235307
