,feature,weight
263,studying: secondary total_pc,-34.880020707916174
59,population: 55-59,-25.512256363045772
210,birth: nepal_pc,-18.286998274066566
257,studying: tafe total_pc,-18.062750941327884
271,relationships: group household_pc,-17.29056618195734
102,birth: iran,-14.327333369385961
270,relationships: lone persons_pc,-12.596500399001247
132,studying: secondary total,-12.381040380883105
220,birth: poland_pc,-12.28187138706967
116,birth: born elsewhere,-11.401611097031969
259,studying: secondary catholic_pc,-10.956599037522729
86,birth: malta,-10.414553771932084
237,birth: netherlands_pc,-9.98097275089624
216,birth: japan_pc,-8.927052172044764
174,economic: top 1% suburb_pc,-8.920479759623815
197,population: 85 and over_pc,-8.81670022240583
8,b10_arson,-7.655612354095355
253,studying: tertiary FT 25+_pc,-7.580955403475085
241,birth: zimbabwe_pc,-6.661466101578885
39,economic: median age of earners,-6.626992669153015
29,best_school_study_score_over_40_percent,-6.414602804378108
181,population: 5-9_pc,-6.324944450047583
151,b20_property_damage_pc,-6.097105025429404
205,birth: egypt_pc,-5.929611329116938
196,population: 80-84_pc,-5.4882678911593015
104,birth: france,-5.252416933789794
243,birth: turkey_pc,-5.014868686707159
260,studying: preschool_pc,-4.745213832304235
246,birth: cambodia_pc,-4.664667918964708
162,e20_breaches_of_orders_pc,-4.632699264386889
250,birth: germany_pc,-4.390157628765333
7,other_crimes_against_the_person,-4.063492290034619
224,birth: pakistan_pc,-4.044969674862509
100,birth: vietnam,-4.012353018257277
191,population: 55-59_pc,-3.9228867375316354
154,b50_deception_pc,-3.6177838625042464
131,studying: secondary government,-3.274898854542832
207,birth: thailand_pc,-2.971150602836294
258,studying: primary government_pc,-2.875976698923901
19,e10_justice_procedures,-2.8064370004984696
33,zoned_school_median_study_score,-2.627794711765869
37,distance_to_cbd,-2.218160852346099
34,zoned_school_study_score_over_40_percent,-2.091234802708596
155,c10_drug_dealing_and_trafficking_pc,-2.088224969301741
69,birth: papua new guinea,-2.061754831936677
77,birth: ireland,-1.918143180876719
27,b60_bribery,-1.699263135886478
180,population: 0-4_pc,-1.6381909194515798
152,b30_burglary/break_and_enter_pc,-1.6346441474249795
161,e10_justice_procedures_pc,-1.5753019355031173
0,Unnamed: 0,-1.52185864810207
160,d30_public_nuisance_offences_pc,-1.4158574926885745
229,birth: india_pc,-1.3548565281822356
25,d40_public_security_offences,-1.14526542871933
256,studying: tertiary PT 25+_pc,-0.8809515369415046
156,c20_cultivate_or_manufacture_drugs_pc,-0.8283090196323964
178,economic: gdp quarterly_pc,-0.8143705313624314
94,birth: iraq,-0.6290778991542926
23,c90_other_drug_offences,-0.6116140968322038
163,f20_transport_regulation_offences_pc,-0.5804519536812789
46,economic: gdp quarterly,-0.5388259143739295
148,a80_dangerous_and_negligent_acts_endangering_people_pc,-0.38711739483073393
275,economic: number of earners_pc,-0.2746545851574059
166,f30_other_government_regulatory_offences_pc,-0.2391181760155553
242,birth: bangladesh_pc,-0.19437986107579794
24,f30_other_government_regulatory_offences,-0.18397958283503338
254,studying: primary total_pc,-0.0
247,birth: born elsewhere_pc,-0.0
249,birth: croatia_pc,0.0
248,birth: italy_pc,-0.0
230,birth: philippines_pc,-0.0
231,birth: vietnam_pc,-0.0
240,birth: bosnia and herzegovina_pc,-0.0
238,birth: myanmar_pc,-0.0
232,birth: new zealand_pc,0.0
26,f10_regulatory_driving_offences,0.0
15,c30_drug_use_and_possession,0.0
14,c20_cultivate_or_manufacture_drugs,-0.0
28,total_crimes,0.0
36,crow_distance_to_cbd,-0.0
32,zoned_school_satisfactory_complete_vce_percent,-0.0
234,birth: lebanon_pc,-0.0
87,birth: scotland,0.0
88,birth: china excludes sars and taiwan,-0.0
89,birth: poland,-0.0
90,birth: singapore,0.0
91,birth: south africa,-0.0
92,birth: greece,-0.0
78,birth: hong kong sar of china,-0.0
83,birth: fiji,-0.0
93,birth: pakistan,0.0
96,birth: samoa,0.0
98,birth: india,0.0
10,b30_burglary/break_and_enter,-0.0
6,a80_dangerous_and_negligent_acts_endangering_people,-0.0
9,b20_property_damage,-0.0
20,e20_breaches_of_orders,0.0
261,studying: primary catholic_pc,0.0
71,birth: malaysia,0.0
82,birth: chile,0.0
70,birth: australia,0.0
84,birth: taiwan,-0.0
72,birth: country of birth not stated,0.0
145,a20_assault_and_related_offences_pc,0.0
144,economic: number of earners,-0.0
143,relationships: lone parents,-0.0
115,birth: cambodia,-0.0
101,birth: new zealand,0.0
112,birth: turkey,-0.0
114,birth: korea republic of south,0.0
111,birth: bangladesh,0.0
105,birth: total,0.0
106,birth: netherlands,-0.0
108,birth: united states of america,0.0
123,studying: primary total,0.0
109,birth: bosnia and herzegovina,0.0
110,birth: zimbabwe,0.0
122,studying: tertiary FT 25+,-0.0
