,feature,weight
39,economic: median age of earners,-26.58814245091608
120,studying: primary other,-22.614680379094946
204,birth: indonesia_pc,-21.051118677732624
216,birth: japan_pc,-20.368785963291373
174,economic: top 1% suburb_pc,-16.799799546801335
198,birth: brazil_pc,-16.584013748859558
154,b50_deception_pc,-15.60409007635833
42,economic: top 1% suburb,-11.485768390959446
34,zoned_school_study_score_over_40_percent,-10.822424372036663
192,population: 60-64_pc,-10.251380882804417
89,birth: poland,-9.948004886966388
128,studying: secondary catholic,-7.960146480091202
155,c10_drug_dealing_and_trafficking_pc,-7.316908104044254
237,birth: netherlands_pc,-7.2201130234308675
217,birth: malta_pc,-7.149596462120988
271,relationships: group household_pc,-6.062849846101315
240,birth: bosnia and herzegovina_pc,-5.780064430287521
191,population: 55-59_pc,-5.576412204849745
132,studying: secondary total,-5.548770148069746
157,c30_drug_use_and_possession_pc,-5.0996059260262605
84,birth: taiwan,-4.92206865165626
230,birth: philippines_pc,-4.881635678495566
229,birth: india_pc,-4.723096339156236
241,birth: zimbabwe_pc,-4.292291575293844
29,best_school_study_score_over_40_percent,-4.085303333515157
20,e20_breaches_of_orders,-4.067479198616887
272,relationships: married_pc,-3.8453513720467973
33,zoned_school_median_study_score,-3.6838716982436113
226,birth: mauritius_pc,-3.47991861057324
6,a80_dangerous_and_negligent_acts_endangering_people,-3.114973643682392
199,birth: wales_pc,-3.088097660612106
248,birth: italy_pc,-3.034205906094634
113,birth: canada,-2.7690856034922264
169,b60_bribery_pc,-2.434997101140718
233,birth: iran_pc,-2.3938063420277125
234,birth: lebanon_pc,-2.188360756922071
8,b10_arson,-2.0774475340272684
117,birth: italy,-2.018114790936959
31,zoned_school_number_vce_subjects,-1.9867138224375225
265,overseas: 5 years_pc,-1.9262515993337592
22,f90_miscellaneous_offences,-1.9240968867904957
262,studying: secondary government_pc,-1.86617181984281
218,birth: scotland_pc,-1.7479290402953882
78,birth: hong kong sar of china,-1.7178997032141892
76,birth: thailand,-1.6384572339965282
162,e20_breaches_of_orders_pc,-1.5438877913546671
26,f10_regulatory_driving_offences,-1.3861790548400703
10,b30_burglary/break_and_enter,-1.275415162759205
242,birth: bangladesh_pc,-1.1419611437788535
158,d10_weapons_and_explosives_offences_pc,-1.1054798629660358
46,economic: gdp quarterly,-0.9502665469145115
149,other_crimes_against_the_person_pc,-0.8657645016255497
203,birth: country of birth not stated_pc,-0.5953815740577239
124,studying: tertiary PT 14-25,-0.5406469949581834
63,population: 75-79,-0.3168262788275771
211,birth: north macedonia_pc,-0.2292366790176432
202,birth: malaysia_pc,-0.17093982330221008
7,other_crimes_against_the_person,-0.16067172590994422
44,economic: trimmed mean quarterly,-0.1204117932000982
253,studying: tertiary FT 25+_pc,0.0
254,studying: primary total_pc,0.0
255,studying: tertiary PT 14-25_pc,-0.0
256,studying: tertiary PT 25+_pc,-0.0
259,studying: secondary catholic_pc,-0.0
258,studying: primary government_pc,0.0
245,birth: korea republic of south_pc,-0.0
244,birth: canada_pc,0.0
236,birth: total_pc,-0.0
21,f20_transport_regulation_offences,-0.0
24,f30_other_government_regulatory_offences,0.0
28,total_crimes,0.0
231,birth: vietnam_pc,-0.0
228,birth: sri lanka_pc,-0.0
243,birth: turkey_pc,-0.0
238,birth: myanmar_pc,0.0
25,d40_public_security_offences,0.0
27,b60_bribery,0.0
23,c90_other_drug_offences,-0.0
32,zoned_school_satisfactory_complete_vce_percent,0.0
11,b40_theft,0.0
95,birth: mauritius,-0.0
94,birth: iraq,0.0
92,birth: greece,0.0
260,studying: preschool_pc,0.0
5,"a70_stalking,_harassment_and_threatening_behaviour",0.0
9,b20_property_damage,-0.0
19,e10_justice_procedures,0.0
16,d10_weapons_and_explosives_offences,-0.0
18,d30_public_nuisance_offences,-0.0
14,c20_cultivate_or_manufacture_drugs,-0.0
15,c30_drug_use_and_possession,0.0
83,birth: fiji,0.0
80,birth: north macedonia,0.0
82,birth: chile,0.0
90,birth: singapore,0.0
87,birth: scotland,-0.0
88,birth: china excludes sars and taiwan,-0.0
91,birth: south africa,-0.0
97,birth: sri lanka,0.0
85,birth: japan,0.0
86,birth: malta,-0.0
99,birth: philippines,0.0
110,birth: zimbabwe,0.0
108,birth: united states of america,0.0
123,studying: primary total,0.0
122,studying: tertiary FT 25+,0.0
101,birth: new zealand,0.0
119,birth: germany,0.0
118,birth: croatia,-0.0
131,studying: secondary government,-0.0
116,birth: born elsewhere,0.0
129,studying: preschool,0.0
127,studying: primary government,0.0
126,studying: tafe total,0.0
130,studying: primary catholic,-0.0
125,studying: tertiary PT 25+,-0.0
75,birth: afghanistan age,0.0
73,birth: indonesia,-0.0
72,birth: country of birth not stated,0.0
71,birth: malaysia,0.0
70,birth: australia,-0.0
69,birth: papua new guinea,0.0
68,birth: wales,0.0
139,relationships: lone persons,0.0
138,relationships: non dependent child,-0.0
160,d30_public_nuisance_offences_pc,-0.0
140,relationships: group household,-0.0
152,b30_burglary/break_and_enter_pc,0.0
151,b20_property_damage_pc,0.0
150,b10_arson_pc,-0.0
148,a80_dangerous_and_negligent_acts_endangering_people_pc,-0.0
142,relationships: dependent student,-0.0
141,relationships: married,-0.0
133,studying: tertiary total,0.0
134,overseas: 5 years,0.0
147,"a70_stalking,_harassment_and_threatening_behaviour_pc",-0.0
145,a20_assault_and_related_offences_pc,0.0
144,economic: number of earners,-0.0
143,relationships: lone parents,-0.0
135,relationships: child under 15,0.0
136,relationships: defacto,0.0
193,population: 65-69_pc,-0.0
100,birth: vietnam,-0.0
104,birth: france,0.0
109,birth: bosnia and herzegovina,-0.0
111,birth: bangladesh,-0.0
112,birth: turkey,0.0
103,birth: lebanon,-0.0
114,birth: korea republic of south,0.0
115,birth: cambodia,0.0
105,birth: total,0.0
159,d20_disorderly_and_offensive_conduct_pc,0.0
102,birth: iran,-0.0
56,population: 40-44,-0.0
59,population: 55-59,-0.0
214,birth: fiji_pc,0.0
215,birth: taiwan_pc,-0.0
219,birth: china excludes sars and taiwan_pc,-0.0
208,birth: ireland_pc,-0.0
207,birth: thailand_pc,-0.0
