,x,y,school_name,number_vce_subjects,satisfactory_complete_vce_percent,median_study_score,study_score_over_40_percent,percentage_applying_to_victorian_uni
0,146.96093,-36.7331,bright p college,30.0,95.0,29.0,4.8,20.0
1,144.16067,-38.042,bannockburn p college,33.0,92.0,24.0,0.9,42.0
2,144.11368,-36.04736,pyramid hill college,3.0,95.62891986062718,28.7569573283859,7.186514522821577,67.05434782608695
3,149.7543,-37.55943,mallacoota p college,7.0,100.0,34.0,16.7,50.0
4,149.15302,-37.5697,cann river p college,8.0,100.0,24.0,7.186514522821577,67.0
5,143.21674,-37.93959,derrinallum p college,13.0,100.0,31.0,7.186514522821577,20.0
6,142.85352,-35.50928,tyrrell college,15.0,100.0,25.0,7.186514522821577,100.0
7,141.29856,-37.03343,edenhope college,13.0,100.0,30.0,7.186514522821577,83.0
8,141.17734,-35.26557,murrayville community college,13.0,100.0,22.0,7.186514522821577,67.05434782608695
9,145.18873,-37.94284,carwatha college p,33.0,98.0,26.0,1.8,70.0
10,145.11937,-37.59755,hazel glen college,60.0,98.0,26.0,2.5,54.0
11,143.66051,-38.75352,apollo bay p college,20.0,100.0,31.0,11.8,59.0
12,144.9905,-37.80298,collingwood college,56.0,98.0,26.0,2.2,64.0
13,144.14145,-36.37222,east loddon p college,20.0,100.0,30.0,5.4,77.0
14,141.48354,-36.71579,goroke p college,9.0,95.62891986062718,28.7569573283859,7.186514522821577,67.05434782608695
15,143.38305,-38.68184,lavers hill k college,12.0,100.0,28.7569573283859,7.186514522821577,50.0
16,145.0144,-36.58332,rushworth p college,10.0,100.0,24.0,7.186514522821577,57.0
17,145.07222,-37.72475,macleod college,41.0,98.0,28.0,2.1,77.0
18,145.34944,-37.86824,sherbrooke community school,15.0,100.0,26.0,7.186514522821577,40.0
19,143.14544,-38.23973,camperdown college,21.0,91.0,27.0,7.186514522821577,64.0
20,142.97589,-38.48406,timboon p school,32.0,100.0,28.0,1.1,54.0
21,145.0257,-37.76204,virtual school victoria,67.0,90.0,26.0,3.0,35.0
22,143.61877,-36.41702,wedderburn college,17.0,100.0,28.0,7.186514522821577,71.0
23,145.00507,-37.60949,edgars creek secondary college,36.0,88.0,25.0,0.7,55.0
24,143.06361,-38.32404,cobden technical school,12.0,100.0,27.0,7.186514522821577,40.0
25,145.27103,-38.07539,lyndhurst secondary college,46.0,94.0,30.0,7.1,48.0
26,144.15185,-37.33467,daylesford secondary college,33.0,90.0,27.0,3.8,42.0
27,145.01358,-38.34264,dromana secondary college,57.0,98.0,32.0,8.7,45.0
28,144.32744,-38.2104,grovedale college,41.0,98.0,25.0,1.3,39.0
29,142.1647,-34.23233,irymple secondary college,4.0,95.62891986062718,28.7569573283859,7.186514522821577,67.05434782608695
30,144.23367,-36.78865,crusoe  secondary college,2.0,95.62891986062718,28.7569573283859,7.186514522821577,67.05434782608695
31,145.01316,-37.66691,peter lalor secondary college,18.0,82.0,28.7569573283859,7.186514522821577,67.05434782608695
32,145.34141,-37.74582,lilydale heights college,38.0,100.0,26.0,1.7,57.0
33,144.56869,-37.70836,staughton college,38.0,90.0,23.0,1.4,35.0
34,142.14798,-34.19573,chaffey secondary college,2.0,95.62891986062718,28.7569573283859,7.186514522821577,67.05434782608695
35,145.0598,-37.92736,bentleigh secondary college,54.0,98.0,30.0,4.6,89.0
36,143.87667,-37.60796,mount clear college,57.0,93.0,26.0,3.4,50.0
37,144.88618,-37.74668,rosehill secondary college,46.0,98.0,28.0,3.7,76.0
38,145.12018,-37.51505,whittlesea secondary college,36.0,96.0,22.0,1.4,78.0
39,145.70148,-37.19449,alexandra secondary college,18.0,98.0,23.0,0.6,33.0
40,145.04507,-37.83988,auburn high school,27.0,98.0,31.0,7.5,93.0
41,143.81821,-37.55452,ballarat high school,56.0,95.0,29.0,5.3,53.0
42,145.07677,-37.79786,balwyn high school,55.0,99.0,32.0,16.5,92.0
43,145.262,-37.83903,bayswater secondary college,19.0,89.0,28.0,7.186514522821577,28.0
44,143.38249,-37.43884,beaufort secondary college,26.0,100.0,26.0,7.186514522821577,50.0
45,145.03408,-37.9784,beaumaris secondary college,57.0,98.0,29.0,5.0,79.0
46,146.69076,-36.34722,beechworth secondary college,25.0,100.0,26.0,7.186514522821577,67.0
47,144.33056,-38.17565,belmont high school,55.0,97.0,29.0,2.6,58.0
48,145.36544,-38.0314,berwick secondary college,62.0,98.0,28.0,4.9,50.0
49,145.14989,-37.81037,blackburn high school,58.0,99.0,30.0,6.8,81.0
50,145.13721,-37.82,box hill high school,58.0,94.0,30.0,8.9,86.0
51,144.84754,-37.77826,braybrook college,41.0,93.0,33.0,16.9,86.0
52,145.16634,-37.89951,brentwood secondary college,69.0,99.0,30.0,4.6,75.0
53,145.01912,-37.92016,brighton secondary college,51.0,97.0,31.0,11.2,91.0
54,145.04003,-37.20438,broadford secondary college,50.0,94.0,23.0,0.9,58.0
55,144.89775,-37.74712,buckley park college,53.0,99.0,31.0,6.8,78.0
56,145.07282,-37.83015,camberwell high school,51.0,100.0,29.0,5.0,89.0
57,141.38749,-37.5888,casterton secondary college,13.0,100.0,29.0,5.5,73.0
